Nome,Quantidade,Componente
"Uacender o led especifico",1," Arduino Uno R3"
"D1",1,"Vermelho LED"
"D2",1,"Amarelo LED"
"D3",1,"Verde LED"
"R1, R2, R3, R4, R5",5,"1 kΩ Resistor"
"Sverde, Samarelo, Svermelho, Sazul, Sbranco",5," Botão"
"D4",1,"Azul LED"
"D5",1,"Branco LED"
